price,regionDesc
2.0999999,London
0.89999998,London
0.80000001,London
0.28999999,London
1.7,London
0.94999999,London
0.79000002,London
2.5,London
0.19,London
0.79000002,London
0.25,London
2,London
0.33000001,South East
0.22,South East
0.72000003,South East
0.69999999,South East
0.18000001,South East
0.22,South East
0.28,South East
1,South East
1,South East
1.5,South East
1.6,South East
0.89999998,South East
0.28,South East
0.31999999,South East
1.4,South East
1.5,South East
1.2,South East
0.25,South East
0.30000001,South East
1.2,South West
1.25,South West
1.2,South West
0.28,South West
0.25,South West
1.25,South West
0.22,South West
0.80000001,South West
1,South West
0.28,South West
1.2,South West
1.2,South West
0.22,South West
0.20999999,South West
1.25,East Anglia
1.5,East Anglia
1.2,East Anglia
0.89999998,East Anglia
0.99000001,East Anglia
0.28,East Anglia
1.3,East Anglia
0.25,East Anglia
0.80000001,East Anglia
0.33000001,East Anglia
1.5,East Anglia
1.5,East Anglia
1.2,East Anglia
0.28,East Anglia
0.69999999,East Midlands
0.28,East Midlands
0.60000002,East Midlands
0.25,East Midlands
0.25,East Midlands
0.22,East Midlands
0.38,East Midlands
0.28999999,East Midlands
0.27000001,East Midlands
1,East Midlands
1.5,East Midlands
0.33000001,West Midlands
1.5,West Midlands
1,West Midlands
1.1,West Midlands
1.35,West Midlands
0.85000002,West Midlands
0.58999997,West Midlands
0.89999998,West Midlands
0.28999999,West Midlands
0.58999997,West Midlands
1,Yorkshire & Humber
1.5,Yorkshire & Humber
0.22,Yorkshire & Humber
0.80000001,Yorkshire & Humber
0.18000001,Yorkshire & Humber
0.28,Yorkshire & Humber
1,Yorkshire & Humber
0.89999998,Yorkshire & Humber
1,Yorkshire & Humber
1.1,Yorkshire & Humber
0.25,Yorkshire & Humber
0.28,Yorkshire & Humber
0.99000001,Yorkshire & Humber
0.18000001,North West
0.85000002,North West
0.25,North West
0.69999999,North West
0.36000001,North West
1.5,North West
0.38,North West
0.69999999,North West
0.28999999,North West
1.2,North West
1,North West
0.69,North West
1,North West
0.31,North West
0.92000002,North
0.27000001,North
0.69999999,North
0.25,North
0.33000001,North
1.28,North
1,North
1.2,North
0.25,North
0.33000001,Wales
0.25,Wales
0.28999999,Wales
0.25,Wales
0.38999999,Wales
0.5,Wales
0.18000001,Wales
0.89999998,Wales
0.89999998,Wales
1,Scotland
0.25,Scotland
0.27000001,Scotland
0.80000001,Scotland
1,Scotland
0.33000001,Scotland
0.28999999,Scotland
0.28999999,Scotland
0.22,Scotland
0.28,Scotland
1,Scotland
1.15,Northern Ireland
1,Northern Ireland
0.25,Northern Ireland
0.89999998,Northern Ireland
0.33000001,Northern Ireland