State,Number
Alabama,148
Alaska,31
Arizona,167
Arkansas,130
California,553
Colorado,133
Connecticut,59
Delaware,19
Florida,372
Georgia,212
Hawaii,32
Idaho,64
Illinois,254
Indiana,228
Iowa,138
Kansas,183
Kentucky,139
Louisiana,313
Maine,46
Maryland,83
Massachusetts,159
Michigan,203
Minnesota,162
Mississippi,135
Missouri,190
Montana,68
Nebraska,35
Nevada,79
New Hampshire,35
New Jersey,141
New Mexico,67
New York,309
North Carolina,193
North Dakota,60
Ohio,322
Oklahoma,192
Oregon,74
Pennsylvania,330
Rhode Island,19
South Carolina,111
South Dakota,74
Tennessee,199
Texas,915
Utah,69
Vermont,18
Virginia,149
Washington,130
West Virginia,78
Wisconsin,183
Wyoming,35