state,pop2022
California,39995077
Texas,29945493
Florida,22085563
New York,20365879
Pennsylvania,13062764
Illinois,12808884
Ohio,11852036
Georgia,10916760
North Carolina,10620168
Michigan,10116069
New Jersey,9388414
Virginia,8757467
Washington,7901429
Arizona,7303398
Massachusetts,7126375
Tennessee,7023788
Indiana,6845874
Maryland,6257958
Missouri,6188111
Wisconsin,5935064
Colorado,5922618
Minnesota,5787008
South Carolina,5217037
Alabama,5073187
Louisiana,4682633
Kentucky,4539130
Oregon,4318492
Oklahoma,4000953
Connecticut,3612314
Utah,3373162
Iowa,3219171
Nevada,3185426
Arkansas,3030646
Mississippi,2960075
Kansas,2954832
New Mexico,2129190
Nebraska,1988536
Idaho,1893410
West Virginia,1781860
Hawaii,1474265
New Hampshire,1389741
Maine,1369159
Rhode Island,1106341
Montana,1103187
Delaware,1008350
South Dakota,901165
North Dakota,800394
Alaska,738023
Vermont,646545
Wyoming,579495