State,Life Expectancy 2019
Hawaii,82.3
California,81.7
New York,81.4
Minnesota,80.9
Connecticut,80.9
Massachusetts,80.6
Colorado,80.6
New Jersey,80.5
Washington,80.4
Florida,80.2
Utah,80.1
Arizona,80
Oregon,79.9
Rhode Island,79.8
Vermont,79.8
North Dakota,79.7
New Hampshire,79.7
Nebraska,79.6
Virginia,79.5
Wisconsin,79.5
Iowa,79.4
Idaho,79.4
Illinois,79.4
Texas,79.2
Maryland,79.2
Alaska,79
South Dakota,78.9
Wyoming,78.9
Montana,78.9
Maine,78.7
Nevada,78.7
Kansas,78.5
Delaware,78.5
Pennsylvania,78.4
North Carolina,78.1
New Mexico,78
Michigan,78.1
Georgia,77.9
Missouri,77.3
South Carolina,77.1
Indiana,77.1
Ohio,77
Louisiana,76.1
Tennessee,76
Oklahoma,76
Arkansas,76
Kentucky,75.6
Alabama,75.5
Mississippi,74.9
West Virginia,74.8